# Unicode character frequencies computed on dumps of all wikipedia languages (288)
# Dumps downloader: https://github.com/aesuli/wikipediatools
# Html converted to plain text: https://github.com/aesuli/wikipedia-extractor
#
# Andrea Esuli
# http://www.esuli.it/
#
#'char'<tab>ord(char)<tab>freq
'ں'	1722	607315
'ζ'	950	606173
'系'	31995	604038
'ť'	357	601675
'基'	22522	601421
'神'	31070	600283
'զ'	1382	600240
'జ'	3100	599397
'ľ'	318	598750
'ガ'	12460	598644
'ფ'	4324	598457
'և'	1415	598342
'里'	37324	597863
'į'	303	596998
'球'	29699	596231
'相'	30456	595566
'პ'	4318	593840
'এ'	2447	592579
'士'	22763	592407
'置'	32622	591196
'Á'	193	591126
'ソ'	12477	590374
'指'	25351	590301
'個'	20491	590245
'േ'	3399	585840
'院'	38498	585508
'Σ'	931	585501
'進'	36914	583707
'ோ'	3019	582489
'ৰ'	2544	581451
'持'	25345	578939
'ồ'	7891	578283
'ប'	6036	578010
'ụ'	7909	577443
'ស'	6047	577439
'意'	24847	577136
'Č'	268	576936
'安'	23433	575498
'び'	12403	574506
'િ'	2751	573978
'ද'	3503	573662
'ซ'	3595	572368
'들'	46308	568977
'ポ'	12509	568826
'ಅ'	3205	567989
'۲'	1778	566509
'取'	21462	566224
'ổ'	7893	565356
'結'	32080	565251
'ō'	333	564882
'బ'	3116	563307
'ག'	3906	562003
'城'	22478	559999
'छ'	2331	559896
'流'	27969	558739
'ི'	3954	555056
'성'	49457	555032
'ോ'	3403	554796
'始'	22987	554254
'ヴ'	12532	554253
'心'	24515	552435
'ボ'	12508	551945
'向'	21521	551081
'ල'	3517	549333
'型'	22411	548126
'運'	36939	547912
'空'	31354	546106
'ප'	3508	544813
'実'	23455	543881
'務'	21209	542754
'會'	26371	541205
'ർ'	3452	540663
'言'	35328	540256
'ী'	2496	539452
'ુ'	2753	539030
'因'	22240	537688
'ถ'	3606	537110
'ொ'	3018	535198
'ൽ'	3453	534776
'音'	38899	534356
'구'	44396	533064
'ắ'	7855	532698
']'	93	531483
'장'	51109	530462
'ზ'	4310	529150
'送'	36865	528689
'ռ'	1404	528651
'һ'	1211	528615
'여'	50668	528433
'ត'	6031	528253
'ម'	6040	527338
'交'	20132	527112
'近'	36817	526909
'改'	25913	526775
'ަ'	1958	526078
'ད'	3921	525510
'ず'	12378	525165
'Τ'	932	524921
'野'	37326	524788
'保'	20445	524383
'府'	24220	523626
'ァ'	12449	521658
'Π'	928	521067
'集'	38598	520986
'格'	26684	520392
'史'	21490	519296
'ः'	2307	519133
'ழ'	2996	517778
'동'	46041	517684
'号'	21495	516636
'書'	26360	515571
'隊'	38538	513536
'ノ'	12494	513479
'常'	24120	511291
'‘'	8216	510660
'十'	21313	510129
'ピ'	12500	508989
'ջ'	1403	508894
'ദ'	3366	507907
'적'	51201	507504
'상'	49345	506716
'点'	28857	504749
'Κ'	922	504577
'Μ'	924	504571
'ھ'	1726	502763
'種'	31278	501272
'造'	36896	500808
'也'	20063	498940
'德'	24503	496567
'ూ'	3138	495869
'知'	30693	494655
'起'	36215	494371
'議'	35696	493325
'જ'	2716	491570
'ワ'	12527	491385
'À'	192	490349
'曲'	26354	488163
'属'	23646	486785
'ೊ'	3274	486212
'۳'	1779	485541
'ོ'	3964	485119
'勝'	21213	485095
'后'	21518	484927
'ケ'	12465	484294
'ĉ'	265	482423
'ங'	2969	481973
'約'	32004	478553
'経'	32076	478053
'星'	26143	477998
'村'	26449	476521
'ਰ'	2608	476037
'學'	23416	475208
'信'	20449	474810
'称'	31216	473902
'ň'	328	473573
